item_codeDataTextBox,barcode1,textBox1
IN-A1-K1-P1,IN-A1-K1-P1,Pusat
IN-A1-K1-P10,IN-A1-K1-P10,Pusat
IN-A1-K1-P11,IN-A1-K1-P11,Pusat
IN-A1-K1-P12,IN-A1-K1-P12,Pusat
IN-A1-K1-P13,IN-A1-K1-P13,Pusat
IN-A1-K1-P14,IN-A1-K1-P14,Pusat
IN-A1-K1-P15,IN-A1-K1-P15,Pusat
IN-A1-K1-P16,IN-A1-K1-P16,Pusat
IN-A1-K1-P2,IN-A1-K1-P2,Pusat
IN-A1-K1-P3,IN-A1-K1-P3,Pusat
IN-A1-K1-P4,IN-A1-K1-P4,Pusat
IN-A1-K1-P5,IN-A1-K1-P5,Pusat
IN-A1-K1-P6,IN-A1-K1-P6,Pusat
IN-A1-K1-P7,IN-A1-K1-P7,Pusat
IN-A1-K1-P8,IN-A1-K1-P8,Pusat
IN-A1-K1-P9,IN-A1-K1-P9,Pusat
IN-A1-K2-P1,IN-A1-K2-P1,Pusat
IN-A1-K2-P10,IN-A1-K2-P10,Pusat
IN-A1-K2-P11,IN-A1-K2-P11,Pusat
IN-A1-K2-P12,IN-A1-K2-P12,Pusat
IN-A1-K2-P13,IN-A1-K2-P13,Pusat
IN-A1-K2-P14,IN-A1-K2-P14,Pusat
IN-A1-K2-P15,IN-A1-K2-P15,Pusat
IN-A1-K2-P16,IN-A1-K2-P16,Pusat
IN-A1-K2-P2,IN-A1-K2-P2,Pusat
IN-A1-K2-P3,IN-A1-K2-P3,Pusat
IN-A1-K2-P4,IN-A1-K2-P4,Pusat
IN-A1-K2-P5,IN-A1-K2-P5,Pusat
IN-A1-K2-P6,IN-A1-K2-P6,Pusat
IN-A1-K2-P7,IN-A1-K2-P7,Pusat
IN-A1-K2-P8,IN-A1-K2-P8,Pusat
IN-A1-K2-P9,IN-A1-K2-P9,Pusat
IN-A1-K3-P1,IN-A1-K3-P1,Pusat
IN-A1-K3-P10,IN-A1-K3-P10,Pusat
IN-A1-K3-P11,IN-A1-K3-P11,Pusat
IN-A1-K3-P12,IN-A1-K3-P12,Pusat
IN-A1-K3-P13,IN-A1-K3-P13,Pusat
IN-A1-K3-P14,IN-A1-K3-P14,Pusat
IN-A1-K3-P15,IN-A1-K3-P15,Pusat
IN-A1-K3-P16,IN-A1-K3-P16,Pusat
IN-A1-K3-P2,IN-A1-K3-P2,Pusat
IN-A1-K3-P3,IN-A1-K3-P3,Pusat
IN-A1-K3-P4,IN-A1-K3-P4,Pusat
IN-A1-K3-P5,IN-A1-K3-P5,Pusat
IN-A1-K3-P6,IN-A1-K3-P6,Pusat
IN-A1-K3-P7,IN-A1-K3-P7,Pusat
IN-A1-K3-P8,IN-A1-K3-P8,Pusat
IN-A1-K3-P9,IN-A1-K3-P9,Pusat
IN-A1-K4-P1,IN-A1-K4-P1,Pusat
IN-A1-K4-P10,IN-A1-K4-P10,Pusat
IN-A1-K4-P11,IN-A1-K4-P11,Pusat
IN-A1-K4-P12,IN-A1-K4-P12,Pusat
IN-A1-K4-P13,IN-A1-K4-P13,Pusat
IN-A1-K4-P14,IN-A1-K4-P14,Pusat
